 P1(4): d+c+b+a
 P11487(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*c*d
 P11488(7): b*c*d+!c*!d+!b*!c+!a*!b
 P11489(8): b*!c*!d+a*!c*!d+!b*!c*d+b*c*d+!a*!b*c
 P11490(7): b*!c*!d+!b*!c*d+b*c*d+!a*!b
 P11491(7): b*!c*!d+!b*!c*d+b*c*d+!a*!b*c
 P11492(8): a*!c*!d+b*c*d+!b*!c+!a*!b
 P11493(8): a*!c*!d+!b*!c*d+b*c*d+!a*!b*c
 P11494(8): a*b*!c*!d+!b*!c*d+b*c*d+!a*!b
 P11495(8): a*b*!c*!d+!b*!c*d+b*c*d+!a*!b*c
 P11496(7): !a*!c*!d+b*c*d+!b*!c+!a*!b
 P11497(8): !a*b*!c*!d+!b*!c*d+b*c*d+a*!b*!c+!a*!b*c
 P11498(7): !a*!c*!d+!b*!c*d+b*c*d+!a*!b
 P11499(7): !a*b*!c*!d+!b*!c*d+b*c*d+!a*!b*c
 P11500(6): b*c*d+!b*!c+!a*!b
 P11501(7): !b*!c*d+b*c*d+a*!b*!c+!a*!b*c
 P11502(6): !b*!c*d+b*c*d+!a*!b
 P11503(6): !b*!c*d+b*c*d+!a*!b*c
 P11504(7): b*c*d+!a*!b*d+!c*!d+!b*!c
 P11505(8): b*!c*!d+a*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11506(7): b*!c*!d+!b*!c*d+b*c*d+!a*c*d+!a*!b*!c
 P11507(7): b*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11508(8): a*!c*!d+b*c*d+!a*c*d+!b*!c
 P11509(8): a*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11510(8): a*b*!c*!d+!b*!c*d+b*c*d+!a*c*d+!a*!b*!c
 P11511(8): a*b*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11512(7): !a*!c*!d+b*c*d+!a*c*d+!b*!c
 P11513(8): !a*b*!c*!d+b*c*d+!a*!b*d+a*!b*!c
 P11514(7): !a*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11515(7): !a*b*!c*!d+!b*!c*d+b*c*d+!a*c*d
 P11516(6): b*c*d+!a*c*d+!b*!c
 P11517(7): b*c*d+!a*!b*d+a*!b*!c
 P11518(6): !b*!c*d+b*c*d+!a*c*d+!a*!b*!c
 P11519(6): !b*!c*d+b*c*d+!a*c*d
 P11728(8): a*!b*!d+b*c*d+!a*c*d+a*!b*!c+!c*!d
 P11729(8): b*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11730(8): a*!b*c*!d+a*!b*!c*d+b*!c*!d+!a*!c*!d+b*c*d+!a*c*d
 P11731(8): a*!b*c*!d+a*!b*!c*d+b*!c*!d+b*c*d+!a*c*d
 P11732(8): !b*!c*!d+a*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11733(8): a*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11734(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11735(8): a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11736(8): !a*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11737(8): !a*b*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11738(8): a*!b*c*!d+a*!b*!c*d+!a*!c*!d+b*c*d+!a*c*d
 P11739(8): !a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11740(8): !b*!c*!d+a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11741(8): a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11742(8): !a*!b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11743(8): a*!b*c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11744(8): b*c*d+a*!b*!c+!a*!b*c+!c*!d
 P11745(8): b*!c*!d+b*c*d+a*!b*!c+!a*!b*c
 P11746(8): a*!b*!c*d+b*!c*!d+!a*!b*!d+b*c*d+!a*c*d
 P11747(8): a*!b*!c*d+b*!c*!d+b*c*d+!a*!b*c
 P11748(8): a*!c*!d+!a*!b*!d+b*c*d+!a*c*d+a*!b*!c
 P11749(8): a*!c*!d+b*c*d+a*!b*!c+!a*!b*c
 P11750(8): a*b*!c*!d+a*!b*!c*d+!a*!b*!d+b*c*d+!a*c*d
 P11751(8): a*b*!c*!d+a*!b*!c*d+b*c*d+!a*!b*c
 P11752(8): !a*!c*!d+b*c*d+a*!b*!c+!a*!b*c
 P11753(8): !a*b*!c*!d+b*c*d+a*!b*!c+!a*!b*c
 P11754(8): a*!b*!c*d+!a*!c*!d+b*c*d+!a*!b*c
 P11755(8): !a*b*!c*!d+a*!b*!c*d+b*c*d+!a*!b*c
 P11756(8): !b*!c*!d+b*c*d+a*!b*!c+!a*!b*c
 P11757(7): b*c*d+a*!b*!c+!a*!b*c
 P11758(8): a*!b*!c*d+!a*!b*!d+b*c*d+!a*c*d
 P11759(7): a*!b*!c*d+b*c*d+!a*!b*c
 P11760(8): b*c*d+!a*c*d+a*!b*!c+!c*!d
 P11761(8): b*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11762(8): a*!b*!c*d+b*!c*!d+!a*!c*!d+b*c*d+!a*c*d
 P11763(8): a*!b*!c*d+b*!c*!d+b*c*d+!a*c*d
 P11764(8): !b*!c*!d+a*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11765(8): a*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11766(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11767(8): a*b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11768(8): !a*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11769(8): !a*b*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11770(8): a*!b*!c*d+!a*!c*!d+b*c*d+!a*c*d
 P11771(8): !a*b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11772(8): !b*!c*!d+b*c*d+!a*c*d+a*!b*!c
 P11773(7): b*c*d+!a*c*d+a*!b*!c
 P11774(8): !a*!b*!c*!d+a*!b*!c*d+b*c*d+!a*c*d
 P11775(7): a*!b*!c*d+b*c*d+!a*c*d
 P12000(7): b*c*d+!c*!d+!a*!b
 P12001(8): b*!c*!d+a*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12002(7): b*!c*!d+b*c*d+!a*!b
 P12003(7): b*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12004(8): a*!c*!d+b*c*d+!a*!b
 P12005(8): a*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12006(8): a*b*!c*!d+b*c*d+!a*!b
 P12007(8): a*b*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12008(7): !b*!c*!d+!a*!c*!d+b*c*d+!a*!b
 P12009(8): a*!b*!c*!d+!a*b*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12010(7): !a*!c*!d+b*c*d+!a*!b
 P12011(7): !a*b*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12012(7): !b*!c*!d+b*c*d+!a*!b
 P12013(8): a*!b*!c*!d+b*c*d+!a*!b*d+!a*!b*c
 P12014(5): b*c*d+!a*!b
 P12015(5): b*c*d+!a*!b*d+!a*!b*c
 P12016(7): b*c*d+!a*!b*d+!c*!d
 P12017(8): b*!c*!d+a*!c*!d+b*c*d+!a*!b*d
 P12018(7): b*!c*!d+b*c*d+!a*c*d+!a*!b*!c
 P12019(7): b*!c*!d+b*c*d+!a*!b*d
 P12020(8): a*!c*!d+b*c*d+!a*c*d+!a*!b*!c
 P12021(8): a*!c*!d+b*c*d+!a*!b*d
 P12022(8): a*b*!c*!d+b*c*d+!a*c*d+!a*!b*!c
 P12023(8): a*b*!c*!d+b*c*d+!a*!b*d
 P12024(7): !b*!c*!d+!a*!c*!d+b*c*d+!a*!b*d
 P12025(8): a*!b*!c*!d+!a*b*!c*!d+b*c*d+!a*!b*d
 P12026(7): !a*!c*!d+b*c*d+!a*!b*d
 P12027(7): !a*b*!c*!d+b*c*d+!a*!b*d
 P12028(7): !b*!c*!d+b*c*d+!a*!b*d
 P12029(8): a*!b*!c*!d+b*c*d+!a*!b*d
 P12030(6): b*c*d+!a*c*d+!a*!b*!c
 P12031(5): b*c*d+!a*!b*d
 P12272(6): b*c*d+!a*c*d+!c*!d
 P12273(7): b*!c*!d+a*!c*!d+b*c*d+!a*c*d
 P12274(6): b*!c*!d+!a*!c*!d+b*c*d+!a*c*d
 P12275(6): b*!c*!d+b*c*d+!a*c*d
 P12276(8): !b*!c*!d+a*!c*!d+b*c*d+!a*c*d
 P12277(7): a*!c*!d+b*c*d+!a*c*d
 P12278(8): !a*!b*!c*!d+a*b*!c*!d+b*c*d+!a*c*d
 P12279(7): a*b*!c*!d+b*c*d+!a*c*d
 P12280(7): !b*!c*!d+!a*!c*!d+b*c*d+!a*c*d
 P12281(8): a*!b*!c*!d+!a*b*!c*!d+b*c*d+!a*c*d
 P12282(6): !a*!c*!d+b*c*d+!a*c*d
 P12283(6): !a*b*!c*!d+b*c*d+!a*c*d
 P12284(7): !b*!c*!d+b*c*d+!a*c*d
 P12285(8): a*!b*!c*!d+b*c*d+!a*c*d
 P12286(7): !a*!b*!c*!d+b*c*d+!a*c*d
 P12287(4): b*c*d+!a*c*d
 P15552(6): b*c*d+!c*!d+!b*!d+!b*!c
 P15553(7): b*!c*!d+!b*c*!d+a*!b*!d+!b*!c*d+b*c*d
 P15554(7): b*!c*!d+!b*c*!d+!a*!b*!d+!b*!c*d+b*c*d
 P15555(6): b*!c*!d+!b*c*!d+!b*!c*d+b*c*d
 P15556(7): a*!c*!d+b*c*d+!b*!d+!b*!c
 P15557(7): a*!c*!d+!b*c*!d+!b*!c*d+b*c*d
 P15558(8): a*b*!c*!d+!b*c*!d+!a*!b*!d+!b*!c*d+b*c*d
 P15559(7): a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d
 P15560(7): !a*!c*!d+b*c*d+!b*!d+!b*!c
 P15561(8): !a*b*!c*!d+!b*c*!d+a*!b*!d+!b*!c*d+b*c*d
 P15562(7): !a*!c*!d+!b*c*!d+!b*!c*d+b*c*d
 P15563(7): !a*b*!c*!d+!b*c*!d+!b*!c*d+b*c*d
 P15564(6): b*c*d+!b*!d+!b*!c
 P15565(7): !b*c*!d+a*!b*!d+!b*!c*d+b*c*d
 P15566(7): !b*c*!d+!a*!b*!d+!b*!c*d+b*c*d
 P15567(6): !b*c*!d+!b*!c*d+b*c*d
 P15572(7): a*!c*!d+a*!b*!d+b*c*d+!b*!c
 P15573(7): a*!c*!d+a*!b*!d+!b*!c*d+b*c*d
 P15574(8): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c
 P15575(7): a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d
 P15576(8): !a*!c*!d+a*!b*!d+b*c*d+!b*!c
 P15577(8): !a*b*!c*!d+a*!b*!d+!b*!c*d+b*c*d
 P15578(8): a*!b*c*!d+!a*!c*!d+!b*!c*d+b*c*d
 P15579(8): !a*b*!c*!d+a*!b*c*!d+!b*!c*d+b*c*d
 P15580(7): a*!b*!d+b*c*d+!b*!c
 P15581(7): a*!b*!d+!b*!c*d+b*c*d
 P15582(8): a*!b*c*!d+!b*!c*d+b*c*d+!a*!b*!c
 P15583(7): a*!b*c*!d+!b*!c*d+b*c*d
 P15592(7): !a*!c*!d+!a*!b*!d+b*c*d+!b*!c
 P15593(8): !a*b*!c*!d+!a*!b*c*!d+!b*!c*d+b*c*d+a*!b*!c
 P15594(7): !a*!c*!d+!a*!b*!d+!b*!c*d+b*c*d
 P15595(7): !a*b*!c*!d+!a*!b*c*!d+!b*!c*d+b*c*d
 P15596(7): !a*!b*!d+b*c*d+!b*!c
 P15597(8): !a*!b*c*!d+!b*!c*d+b*c*d+a*!b*!c
 P15598(7): !a*!b*!d+!b*!c*d+b*c*d
 P15599(7): !a*!b*c*!d+!b*!c*d+b*c*d
 P15612(5): b*c*d+!b*!c
 P15613(6): !b*!c*d+b*c*d+a*!b*!c
 P15614(6): !b*!c*d+b*c*d+!a*!b*!c
 P15615(5): !b*!c*d+b*c*d
 P15828(7): !b*!c*!d+a*!c*!d+a*!b*!d+b*c*d+a*!b*!c
 P15829(7): a*!c*!d+a*!b*!d+b*c*d+a*!b*!c
 P15830(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d
 P15831(7): a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d
 P15832(8): !a*!c*!d+a*!b*!d+b*c*d+a*!b*!c
 P15833(8): !a*b*!c*!d+a*!b*!d+b*c*d+a*!b*!c
 P15834(8): a*!b*c*!d+a*!b*!c*d+!a*!c*!d+b*c*d
 P15835(8): !a*b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d
 P15836(7): !b*!c*!d+a*!b*!d+b*c*d+a*!b*!c
 P15837(7): a*!b*!d+b*c*d+a*!b*!c
 P15838(8): !a*!b*!c*!d+a*!b*c*!d+a*!b*!c*d+b*c*d
 P15839(7): a*!b*c*!d+a*!b*!c*d+b*c*d
 P15848(8): !a*!c*!d+!a*!b*!d+b*c*d+a*!b*!c
 P15849(8): !a*b*!c*!d+!a*!b*c*!d+b*c*d+a*!b*!c
 P15850(8): a*!b*!c*d+!a*!c*!d+!a*!b*!d+b*c*d
 P15851(8): !a*b*!c*!d+!a*!b*c*!d+a*!b*!c*d+b*c*d
 P15852(8): !a*!b*!d+b*c*d+a*!b*!c
 P15853(8): !a*!b*c*!d+b*c*d+a*!b*!c
 P15854(8): a*!b*!c*d+!a*!b*!d+b*c*d
 P15855(8): !a*!b*c*!d+a*!b*!c*d+b*c*d
 P15868(7): !b*!c*!d+b*c*d+a*!b*!c
 P15869(6): b*c*d+a*!b*!c
 P15870(8): !a*!b*!c*!d+a*!b*!c*d+b*c*d
 P15871(6): a*!b*!c*d+b*c*d
 P16104(7): !b*!c*!d+!a*!c*!d+!a*!b*!d+b*c*d+!a*!b*!c
 P16105(8): a*!b*!c*!d+!a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d
 P16106(7): !a*!c*!d+!a*!b*!d+b*c*d+!a*!b*!c
 P16107(7): !a*b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d
 P16108(7): !b*!c*!d+!a*!b*!d+b*c*d+!a*!b*!c
 P16109(8): a*!b*!c*!d+!a*!b*c*!d+!a*!b*!c*d+b*c*d
 P16110(7): !a*!b*!d+b*c*d+!a*!b*!c
 P16111(7): !a*!b*c*!d+!a*!b*!c*d+b*c*d
 P16124(7): !b*!c*!d+b*c*d+!a*!b*!c
 P16125(8): a*!b*!c*!d+!a*!b*!c*d+b*c*d
 P16126(6): b*c*d+!a*!b*!c
 P16127(6): !a*!b*!c*d+b*c*d
 P16380(6): !b*!c*!d+b*c*d
 P16381(7): a*!b*!c*!d+b*c*d
 P16382(7): !a*!b*!c*!d+b*c*d
 P16383(3): b*c*d
 P26752(8): a*b*c*d+!c*!d+!b*!d+!a*!d+!b*!c+!a*!c+!a*!b
 P26753(8): a*b*c*d+a*!c*!d+!b*c*!d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26754(8): a*b*c*d+b*!c*!d+!b*c*!d+!b*!c*d+!a*!d+!a*!c+!a*!b
 P26755(8): a*b*c*d+b*!c*!d+!b*c*!d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26758(8): a*b*!c*!d+a*b*c*d+!b*c*!d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b
 P26759(8): a*b*!c*!d+a*b*c*d+!b*c*!d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26760(8): a*b*c*d+!b*!d+!a*!d+!b*!c+!a*!c+!a*!b
 P26761(8): a*b*c*d+a*!b*!d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*c
 P26762(8): a*b*c*d+!b*c*!d+!b*!c*d+!a*!d+!a*!c+!a*!b
 P26763(8): a*b*c*d+!b*c*!d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26766(8): a*b*c*d+!b*c*!d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b
 P26767(8): a*b*c*d+!b*c*!d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26774(8): a*b*!c*!d+a*!b*c*!d+!a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P26775(8): a*b*!c*!d+a*!b*c*!d+!a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d
 P26776(8): a*b*c*d+a*!b*!d+!a*b*!d+!a*!b*d+!b*!c+!a*!c
 P26777(8): a*b*c*d+a*!b*!d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26778(8): a*!b*c*!d+a*b*c*d+!a*b*!d+!b*!c*d+!a*!b*d+!a*!c
 P26779(8): a*!b*c*!d+a*b*c*d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26782(8): a*!b*c*!d+!a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P26783(8): a*!b*c*!d+!a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d
 P26792(8): a*b*c*d+!a*!d+!b*!c+!a*!c+!a*!b
 P26793(8): a*b*c*d+!a*b*!d+!a*!c*d+a*!b*!c+!a*!b*c
 P26794(8): a*b*c*d+!b*!c*d+!a*!d+!a*!c+!a*!b
 P26795(8): a*b*c*d+!a*b*!d+!b*!c*d+!a*!c*d+!a*!b*c
 P26796(8): a*b*c*d+!a*c*!d+!a*!c*d+!b*!c+!a*!b
 P26797(8): a*b*c*d+!a*c*!d+!a*!c*d+!a*!b*d+a*!b*!c
 P26798(8): a*b*c*d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b
 P26799(8): a*b*c*d+!a*c*!d+!b*!c*d+!a*!c*d+!a*!b*d
 P26812(8): !a*b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d+!b*!c
 P26813(8): !a*b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d+a*!b*!c
 P26814(8): !a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P26815(8): !a*b*c*!d+a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d
 P26856(7): a*b*c*d+!b*!c+!a*!c+!a*!b
 P26857(7): a*b*c*d+!b*!c*d+a*!b*!c+!a*b*!c+!a*!b*c
 P26858(7): a*b*c*d+!b*!c*d+!a*!c+!a*!b
 P26859(7): a*b*c*d+!b*!c*d+!a*b*!c+!a*!b*c
 P26862(7): a*b*c*d+!b*!c*d+!a*!c*d+!a*!b
 P26863(7): a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*c
 P26878(7): a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P26879(7): a*b*c*d+!b*!c*d+!a*!c*d+!a*!b*d
 P27030(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+!a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27031(8): a*b*!c*!d+a*!b*c*!d+!a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27032(8): !a*!b*c*d+a*b*c*d+!b*!c*!d+a*!b*!d+!a*b*!d+a*!b*!c+!a*b*!c
 P27033(8): !a*!b*c*d+a*b*c*d+a*!b*!d+!a*b*!d+a*!b*!c+!a*b*!c
 P27034(8): a*!b*c*!d+a*!b*!c*d+!a*!b*c*d+a*b*c*d+!a*!c*!d+!a*b*!d+!a*b*!c
 P27035(8): a*!b*c*!d+a*!b*!c*d+!a*!b*c*d+a*b*c*d+!a*b*!d+!a*b*!c
 P27038(8): !a*!b*!c*!d+a*!b*c*!d+!a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27039(8): a*!b*c*!d+!a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27048(8): a*b*c*d+a*!b*!c+!a*b*!c+!a*!b*c+!a*!d
 P27049(8): a*b*c*d+!a*b*!d+a*!b*!c+!a*b*!c+!a*!b*c
 P27050(8): a*!b*!c*d+a*b*c*d+!a*b*!c+!a*!b*c+!a*!d
 P27051(8): a*!b*!c*d+a*b*c*d+!a*c*!d+!a*b*!c+!a*!b*c
 P27052(8): !a*b*!c*d+a*b*c*d+!b*!c*!d+!a*c*!d+a*!b*!c+!a*!b*c
 P27053(8): !a*b*!c*d+a*b*c*d+!a*c*!d+a*!b*!c+!a*!b*c
 P27054(8): a*!b*!c*d+!a*b*!c*d+a*b*c*d+!a*c*!d+!a*!b*!d+!a*!b*c
 P27055(8): a*!b*!c*d+!a*b*!c*d+a*b*c*d+!a*c*!d+!a*!b*c
 P27068(8): !a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d+!b*!c*!d+a*!b*!c
 P27069(8): !a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d+a*!b*!c
 P27070(8): !a*!b*!c*!d+!a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27071(8): !a*b*c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27112(8): a*b*c*d+!b*!c*!d+a*!b*!c+!a*b*!c+!a*!b*c
 P27113(7): a*b*c*d+a*!b*!c+!a*b*!c+!a*!b*c
 P27114(8): a*!b*!c*d+a*b*c*d+!a*!c*!d+!a*b*!c+!a*!b*c
 P27115(7): a*!b*!c*d+a*b*c*d+!a*b*!c+!a*!b*c
 P27118(8): a*!b*!c*d+!a*b*!c*d+a*b*c*d+!a*!b*!d+!a*!b*c
 P27119(7): a*!b*!c*d+!a*b*!c*d+a*b*c*d+!a*!b*c
 P27134(8): !a*!b*!c*!d+a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27135(7): a*!b*!c*d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27304(8): a*b*c*d+!b*!c*!d+!a*!d+!a*!c+!a*!b
 P27305(8): a*!b*!c*!d+a*b*c*d+!a*b*!d+!a*!c*d+!a*!b*c
 P27306(8): a*b*c*d+!a*!d+!a*!c+!a*!b
 P27307(8): a*b*c*d+!a*b*!d+!a*!c*d+!a*!b*c
 P27308(8): a*b*c*d+!b*!c*!d+!a*c*!d+!a*!c*d+!a*!b
 P27309(8): a*!b*!c*!d+a*b*c*d+!a*c*!d+!a*!c*d+!a*!b*d
 P27310(8): a*b*c*d+!a*c*!d+!a*!c*d+!a*!b
 P27311(8): a*b*c*d+!a*c*!d+!a*!c*d+!a*!b*d
 P27324(8): !a*b*c*!d+a*b*c*d+!b*!c*!d+!a*!c*d+!a*!b*d
 P27325(8): a*!b*!c*!d+!a*b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d
 P27326(8): !a*b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P27327(8): !a*b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d
 P27328(8): a*b*c*d+!c*!d+!b*!d+!a*!c+!a*!b
 P27329(8): a*b*c*d+a*!c*!d+!b*c*!d+!a*!b*d+!a*b*!c
 P27330(8): a*b*c*d+b*!c*!d+!b*c*!d+!a*!c+!a*!b
 P27331(8): a*b*c*d+b*!c*!d+!b*c*!d+!a*!c*d+!a*!b*d
 P27334(8): a*b*!c*!d+a*b*c*d+!b*c*!d+!a*!c*d+!a*!b
 P27335(8): a*b*!c*!d+a*b*c*d+!b*c*!d+!a*!c*d+!a*!b*d
 P27336(8): a*b*c*d+!b*!d+!a*!c+!a*!b
 P27337(8): a*b*c*d+a*!b*!d+!a*!c*d+!a*b*!c+!a*!b*c
 P27338(8): a*b*c*d+!b*c*!d+!a*!c+!a*!b
 P27339(8): a*b*c*d+!b*c*!d+!a*!b*d+!a*b*!c
 P27342(8): a*b*c*d+!b*c*!d+!a*!c*d+!a*!b
 P27343(8): a*b*c*d+!b*c*!d+!a*!c*d+!a*!b*d
 P27348(8): a*b*c*d+!b*!c*!d+a*!c*!d+a*!b*!d+!a*!c*d+!a*!b*d
 P27349(8): a*b*c*d+a*!c*!d+a*!b*!d+!a*!c*d+!a*!b*d
 P27350(8): a*b*!c*!d+a*!b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P27351(8): a*b*!c*!d+a*!b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d
 P27352(8): a*b*c*d+a*!b*!d+!a*!b*d+!a*!c
 P27353(8): a*b*c*d+a*!b*!d+!a*!b*d+!a*b*!c
 P27354(8): a*!b*c*!d+a*b*c*d+!a*!b*d+!a*!c
 P27355(8): a*!b*c*!d+a*b*c*d+!a*!b*d+!a*b*!c
 P27356(8): a*b*c*d+!b*!c*!d+a*!b*!d+!a*!c*d+!a*!b*d
 P27357(8): a*b*c*d+a*!b*!d+!a*!c*d+!a*!b*d
 P27358(8): a*!b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P27359(8): a*!b*c*!d+a*b*c*d+!a*!c*d+!a*!b*d
 P27368(8): a*b*c*d+!b*!c*!d+!a*!c+!a*!b
 P27369(8): a*!b*!c*!d+a*b*c*d+!a*!c*d+!a*b*!c+!a*!b*c
 P27370(7): a*b*c*d+!a*!c+!a*!b
 P27371(7): a*b*c*d+!a*!c*d+!a*b*!c+!a*!b*c
 P27372(8): a*b*c*d+!b*!c*!d+!a*!c*d+!a*!b
 P27373(8): a*!b*!c*!d+a*b*c*d+!a*!c*d+!a*!b*c
 P27374(7): a*b*c*d+!a*!c*d+!a*!b
 P27375(7): a*b*c*d+!a*!c*d+!a*!b*c
 P27388(8): a*b*c*d+!b*!c*!d+!a*!c*d+!a*!b*d
 P27389(8): a*!b*!c*!d+a*b*c*d+!a*!c*d+!a*!b*d
 P27390(7): a*b*c*d+!a*!c*d+!a*!b*d+!a*!b*!c
 P27391(7): a*b*c*d+!a*!c*d+!a*!b*d
 P27580(8): !a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d+!b*!c*!d
 P27581(8): a*!b*!c*!d+!a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27582(8): !a*!b*!c*!d+!a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27583(8): !a*b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27606(8): !a*!b*!c*!d+a*b*!c*!d+a*!b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27607(8): a*b*!c*!d+a*!b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27608(8): !a*!b*c*d+a*b*c*d+!b*!c*!d+a*!b*!d+!a*b*!c
 P27609(8): !a*!b*c*d+a*b*c*d+a*!b*!d+!a*b*!c
 P27610(8): a*!b*c*!d+!a*!b*c*d+a*b*c*d+!a*!c*!d+!a*b*!c
 P27611(8): a*!b*c*!d+!a*!b*c*d+a*b*c*d+!a*b*!c
 P27614(8): !a*!b*!c*!d+a*!b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27615(8): a*!b*c*!d+!a*b*!c*d+!a*!b*c*d+a*b*c*d
 P27624(8): a*b*c*d+!b*!c*!d+!a*b*!c+!a*!b*c
